Lattice parameter (Å) for Au,Potential energy (eV) for Au,Lattice parameter linspace (Å) for Au,Fitted energy (eV) curve for Au,Lattice parameter (Å) for min E_pot for  Au,Minimum E_pot (eV) for Au
,,4.165599999999999,-3.145626578426132,,
,,4.165699999999999,-3.145636360760818,,
,,4.165799999999999,-3.14564605699168,,
,,4.165899999999999,-3.14565566711876,,
,,4.165999999999999,-3.1456651911420295,,
,,4.166099999999999,-3.145674629061517,,
,,4.166199999999999,-3.1456839808771946,,
,,4.166299999999999,-3.145693246589076,,
,,4.1663999999999985,-3.145702426197161,,
,,4.166499999999999,-3.1457115197014502,,
,,4.166599999999999,-3.145720527101929,,
,,4.166699999999999,-3.145729448398612,,
,,4.1667999999999985,-3.1457382835914984,,
,,4.166899999999999,-3.1457470326805748,,
,,4.166999999999999,-3.145755695665855,,
,,4.167099999999999,-3.145764272547339,,
,,4.167199999999999,-3.1457727633250414,,
,,4.167299999999999,-3.145781167998919,,
,,4.167399999999999,-3.145789486569015,,
,,4.167499999999999,-3.1457977190353006,,
,,4.167599999999999,-3.14580586539779,,
,,4.167699999999999,-3.1458139256564834,,
,,4.167799999999999,-3.1458218998113807,,
,,4.167899999999999,-3.1458297878624677,,
,,4.167999999999999,-3.145837589809773,,
,,4.168099999999999,-3.1458453056532534,,
,,4.168199999999999,-3.145852935392938,,
,,4.168299999999999,-3.1458604790288405,,
,,4.168399999999999,-3.1458679365609328,,
,,4.168499999999999,-3.145875307989229,,
,,4.168599999999999,-3.145882593313729,,
,,4.1686999999999985,-3.145889792534433,,
,,4.168799999999999,-3.145896905651327,,
,,4.168899999999999,-3.1459039326644245,,
,,4.168999999999999,-3.145910873573726,,
,,4.1690999999999985,-3.1459177283792314,,
,,4.169199999999999,-3.1459244970809266,,
,,4.169299999999999,-3.1459311796788256,,
,,4.169399999999999,-3.1459377761729286,,
,,4.169499999999999,-3.1459442865632354,,
,,4.169599999999999,-3.145950710849732,,
,,4.169699999999999,-3.1459570490324467,,
,,4.169799999999999,-3.145963301111351,,
,,4.169899999999999,-3.1459694670864593,,
,,4.169999999999999,-3.1459755469577715,,
,,4.170099999999999,-3.1459815407252734,,
,,4.170199999999999,-3.145987448388979,,
,,4.170299999999999,-3.145993269948889,,
,,4.170399999999999,-3.1459990054049882,,
,,4.170499999999999,-3.1460046547573057,,
,,4.1705999999999985,-3.146010218005813,,
,,4.170699999999999,-3.146015695150524,,
,,4.170799999999999,-3.146021086191439,,
,,4.170899999999999,-3.146026391128558,,
,,4.1709999999999985,-3.1460316099618666,,
,,4.171099999999999,-3.146036742691379,,
,,4.171199999999999,-3.1460417893170955,,
,,4.171299999999999,-3.146046749839016,,
,,4.171399999999998,-3.14605162425714,,
,,4.171499999999999,-3.14605641257144,,
,,4.171599999999999,-3.1460611147819577,,
,,4.171699999999999,-3.1460657308886795,,
,,4.171799999999998,-3.146070260891605,,
,,4.171899999999999,-3.1460747047907205,,
,,4.171999999999999,-3.1460790625860398,,
,,4.172099999999999,-3.146083334277563,,
,,4.172199999999999,-3.14608751986529,,
,,4.172299999999999,-3.146091619349221,,
,,4.172399999999999,-3.1460956327293417,,
,,4.1724999999999985,-3.1460995600056663,,
,,4.172599999999999,-3.1461034011781948,,
,,4.172699999999999,-3.1461071562468987,,
,,4.172799999999999,-3.146110825211835,,
,,4.1728999999999985,-3.146114408072961,,
,,4.172999999999999,-3.146117904830291,,
,,4.173099999999999,-3.146121315483825,,
,,4.173199999999999,-3.1461246400335483,,
,,4.1732999999999985,-3.1461278784794757,,
,,4.173399999999999,-3.146131030821607,,
,,4.173499999999999,-3.1461340970599423,,
,,4.173599999999999,-3.1461370771944814,,
,,4.173699999999998,-3.1461399712252103,,
,,4.173799999999999,-3.146142779152129,,
,,4.173899999999999,-3.1461455009752655,,
,,4.173999999999999,-3.146148136694606,,
,,4.174099999999998,-3.1461506863101363,,
,,4.174199999999999,-3.1461531498218847,,
,,4.174299999999999,-3.1461555272298227,,
,,4.174399999999999,-3.1461578185339505,,
,,4.174499999999998,-3.1461600237342964,,
,,4.174599999999999,-3.146162142830832,,
,,4.174699999999999,-3.1461641758235714,,
,,4.1747999999999985,-3.146166122712515,,
,,4.174899999999999,-3.146167983497662,,
,,4.174999999999999,-3.146169758178985,,
,,4.175099999999999,-3.14617144675654,,
,,4.1751999999999985,-3.1461730492302706,,
,,4.175299999999999,-3.1461745656002194,,
,,4.175399999999999,-3.146175995866372,,
,,4.175499999999999,-3.1461773400287143,,
,,4.175599999999998,-3.1461785980872605,,
,,4.175699999999999,-3.1461797700420107,,
,,4.175799999999999,-3.1461808558929647,,
,,4.175899999999999,-3.1461818556401084,,
,,4.175999999999998,-3.146182769283456,,
,,4.176099999999999,-3.1461835968229934,,
,,4.176199999999999,-3.146184338258749,,
,,4.176299999999999,-3.146184993590694,,
,,4.176399999999998,-3.1461855628188573,,
,,4.176499999999999,-3.1461860459432103,,
,,4.176599999999999,-3.146186442963767,,
,,4.1766999999999985,-3.1461867538805137,,
,,4.176799999999998,-3.1461869786934784,,
,,4.176899999999999,-3.146187117402633,,
,,4.176999999999999,-3.146187170007991,,
