Lattice parameter (Å) for Au, Potential energy (eV) for Au, Lattice parameter linspace (Å) for Au, Fitted energy (eV) curve for Au
, , 4.2296000000000005, -3.1402262051709187
, , 4.23, -3.1401230846984873
, , 4.2304, -3.1400187253941994
, , 4.2308, -3.139913127258083
, , 4.2312, -3.1398062902901245
, , 4.2316, -3.1396982144903376
, , 4.232, -3.1395888998587225
, , 4.2324, -3.139478346395279
, , 4.2328, -3.139366554099979
, , 4.2332, -3.139253522972851
, , 4.2336, -3.13913925301388
, , 4.234, -3.139023744223067
, , 4.2344, -3.1389069966004257
, , 4.2348, -3.1387890101459703
, , 4.2352, -3.1386697848596583
, , 4.2356, -3.138549320741518
, , 4.236000000000001, -3.1384276177915353
, , 4.236400000000001, -3.13830467600971
, , 4.236800000000001, -3.138180495396057
, , 4.2372000000000005, -3.138055075950575
, , 4.2376000000000005, -3.137928417673251
, , 4.238, -3.137800520564099
, , 4.2384, -3.13767138462309
, , 4.2388, -3.137541009850267
, , 4.2392, -3.1374093962456016
, , 4.2396, -3.1372765438090937
, , 4.24, -3.1371424525407576
, , 4.2404, -3.137007122440579
, , 4.2408, -3.1368705535085724
, , 4.2412, -3.136732745744723
, , 4.2416, -3.1365936991490457
, , 4.242, -3.136453413721526
, , 4.2424, -3.1363118894621778
, , 4.2428, -3.136169126370987
, , 4.2432, -3.1360251244479542
, , 4.2436, -3.135879883693093
, , 4.244, -3.1357334041064036
, , 4.244400000000001, -3.1355856856878717
, , 4.244800000000001, -3.1354367284374973
, , 4.2452000000000005, -3.1352865323552948
, , 4.2456000000000005, -3.1351350974412497
, , 4.246, -3.1349824236953623
, , 4.2464, -3.134828511117661
, , 4.2468, -3.134673359708117
, , 4.2472, -3.1345169694667305
, , 4.2476, -3.1343593403935017
, , 4.248, -3.1342004724884447
, , 4.2484, -3.1340403657515736
, , 4.2488, -3.133879020182846
, , 4.2492, -3.1337164357822758
, , 4.2496, -3.1335526125498774
, , 4.25, -3.1333875504856366
, , 4.2504, -3.1332212495895675
, , 4.2508, -3.13305370986167
, , 4.2512, -3.1328849313019305
, , 4.2516, -3.1327149139103483
, , 4.252000000000001, -3.1325436576869237
, , 4.252400000000001, -3.132371162631671
, , 4.252800000000001, -3.1321974287445897
, , 4.2532000000000005, -3.1320224560256804
, , 4.2536000000000005, -3.1318462444749144
, , 4.2540000000000004, -3.1316687940923202
, , 4.2544, -3.131490104877898
, , 4.2548, -3.1313101768316187
, , 4.2552, -3.1311290099535256
, , 4.2556, -3.1309466042436043
, , 4.256, -3.1307629597018263
, , 4.2564, -3.130578076328206
, , 4.2568, -3.1303919541227714
, , 4.2572, -3.1302045930854803
, , 4.2576, -3.130015993216361
, , 4.258, -3.1298261545154276
, , 4.2584, -3.1296350769826375
, , 4.2588, -3.129442760618005
, , 4.2592, -3.1292492054215444
, , 4.2596, -3.1290544113932555
, , 4.26, -3.1288583785331383
, , 4.260400000000001, -3.1286611068411645
, , 4.260800000000001, -3.1284625963173625
, , 4.2612000000000005, -3.128262846961718
, , 4.2616000000000005, -3.1280618587742453
, , 4.2620000000000005, -3.12785963175493
, , 4.2624, -3.127656165903801
, , 4.2628, -3.127451461220815
, , 4.2632, -3.127245517706001
, , 4.2636, -3.1270383353593445
, , 4.264, -3.1268299141808455
, , 4.2644, -3.1266202541705184
, , 4.2648, -3.126409355328377
, , 4.2652, -3.1261972176543793
, , 4.2656, -3.125983841148539
, , 4.266, -3.1257692258108705
, , 4.2664, -3.1255533716413595
, , 4.2668, -3.1253362786400203
, , 4.2672, -3.125117946806853
, , 4.2676, -3.124898376141843
, , 4.268000000000001, -3.1246775666449906
, , 4.268400000000001, -3.12445551831631
, , 4.268800000000001, -3.124232231155787
, , 4.2692000000000005, -3.124007705163436
, , 4.2696000000000005, -3.123781940339242
, , 4.2700000000000005, -3.1235549366832203
, , 4.2704, -3.123326694195356
, , 4.2708, -3.123097212875649
, , 4.2712, -3.122866492724114
, , 4.2716, -3.122634533740765
, , 4.272, -3.1224013359255594
, , 4.2724, -3.122166899278511
, , 4.2728, -3.121931223799635
, , 4.2732, -3.121694309488916
, , 4.2736, -3.121456156346369
, , 4.274, -3.1212167643719937
, , 4.2744, -3.1209761335657618
, , 4.2748, -3.1207342639277016
, , 4.2752, -3.120491155457813
, , 4.2756, -3.1202468081560824
, , 4.276, -3.120001222022509
, , 4.276400000000001, -3.1197543970571218
, , 4.276800000000001, -3.119506333259892
, , 4.277200000000001, -3.11925703063082
, , 4.2776000000000005, -3.119006489169905
, , 4.2780000000000005, -3.1187547088771623
, , 4.2784, -3.118501689752577
, , 4.2788, -3.1182474317961777
, , 4.2792, -3.1179919350079217
, , 4.2796, -3.1177351993878375
, , 4.28, -3.117477224935911
, , 4.2804, -3.117218011652156
, , 4.2808, -3.116957559536573
, , 4.2812, -3.116695868589133
, , 4.2816, -3.116432938809865
, , 4.282, -3.116168770198769
, , 4.2824, -3.11590336275583
, , 4.2828, -3.115636716481049
, , 4.2832, -3.115368831374454
, , 4.2836, -3.115099707436002
, , 4.284000000000001, -3.114829344665722
, , 4.284400000000001, -3.1145577430635996
, , 4.284800000000001, -3.114284902629649
, , 4.285200000000001, -3.1140108233638557
, , 4.2856000000000005, -3.1137355052662485
, , 4.2860000000000005, -3.1134589483367847
, , 4.2864, -3.1131811525754784
, , 4.2868, -3.112902117982344
, , 4.2872, -3.1126218445573812
, , 4.2876, -3.112340332300576
, , 4.288, -3.1120575812119426
, , 4.2884, -3.111773591291467
, , 4.2888, -3.1114883625391627
, , 4.2892, -3.111201894955002
, , 4.2896, -3.1109141885390272
, , 4.29, -3.110625243291196
, , 4.2904, -3.1103350592115646
, , 4.2908, -3.1100436363000625
, , 4.2912, -3.1097509745567464
, , 4.2916, -3.1094570739815737
, , 4.292, -3.1091619345745727
, , 4.292400000000001, -3.1088655563357577
, , 4.292800000000001, -3.108567939265086
, , 4.293200000000001, -3.108269083362572
, , 4.2936000000000005, -3.1079689886282296
, , 4.2940000000000005, -3.107667655062059
, , 4.2944, -3.107365082664046
, , 4.2948, -3.1070612714342047
, , 4.2952, -3.106756221372521
, , 4.2956, -3.106449932478995
, , 4.296, -3.1061424047536406
, , 4.2964, -3.1058336381964438
, , 4.2968, -3.1055236328074187
, , 4.2972, -3.1052123885865655
, , 4.2976, -3.1048999055338555
, , 4.298, -3.1045861836493174
, , 4.2984, -3.104271222932951
, , 4.2988, -3.103955023384742
, , 4.2992, -3.103637585004691
, , 4.2996, -3.1033189077928256
, , 4.300000000000001, -3.102998991749118
, , 4.300400000000001, -3.1026778368735677
, , 4.300800000000001, -3.102355443166175
, , 4.301200000000001, -3.102031810626954
, , 4.3016000000000005, -3.101706939255905
, , 4.3020000000000005, -3.1013808290530136
