       Step     Time          Energy         fmax
GPMin:   30 17:48:06       -4.889515        0.0171
       Step     Time          Energy         fmax
GPMin:    0 17:48:15       -3.167760        1.3405
GPMin:    1 17:48:21       -4.007726        0.5972
GPMin:    2 17:48:27       -4.284551        0.2563
GPMin:    3 17:48:32       -4.349928        0.0967
GPMin:    4 17:48:37       -4.358820        0.1240
GPMin:    5 17:48:42       -4.373576        0.1020
GPMin:    6 17:49:02       -4.391874        0.1146
GPMin:    7 17:49:07       -4.419608        0.0640
GPMin:    8 17:49:12       -4.422929        0.0621
GPMin:    9 17:49:31       -4.456472        0.0520
GPMin:   10 17:49:42       -4.457835        0.0465
GPMin:   11 17:49:48       -4.458705        0.0469
GPMin:   12 17:50:40       -4.466968        0.1152
GPMin:   13 17:50:47       -4.598104        0.2220
GPMin:   14 17:50:54       -4.680407        0.1767
GPMin:   15 17:51:00       -4.714767        0.1494
GPMin:   16 17:51:06       -4.741391        0.1311
GPMin:   17 17:51:11       -4.776783        0.1172
GPMin:   18 17:51:17       -4.803024        0.1097
GPMin:   19 17:51:22       -4.824396        0.1008
GPMin:   20 17:51:28       -4.840863        0.0887
GPMin:   21 17:51:33       -4.855438        0.0706
GPMin:   22 17:51:38       -4.868320        0.0576
GPMin:   23 17:51:43       -4.876825        0.0496
GPMin:   24 17:51:47       -4.882407        0.0391
GPMin:   25 17:51:52       -4.886699        0.0209
GPMin:   26 17:51:56       -4.887556        0.0207
GPMin:   27 17:52:01       -4.889031        0.0331
GPMin:   28 17:52:05       -4.889491        0.0221
GPMin:   29 17:52:09       -4.889776        0.0145
       Step     Time          Energy         fmax
GPMin:    0 17:52:17       -2.895496        1.2837
GPMin:    1 17:52:22       -3.779143        0.5810
GPMin:    2 17:52:26       -4.080283        0.2231
GPMin:    3 17:52:30       -4.153159        0.0322
GPMin:    4 17:52:34       -4.155063        0.0030
       Step     Time          Energy         fmax
GPMin:    0 17:52:42       -3.188136        1.3201
GPMin:    1 17:52:49       -3.977048        0.6196
GPMin:    2 17:52:55       -4.263391        0.3181
GPMin:    3 17:53:02       -4.366786        0.2017
GPMin:    4 17:53:07       -4.397485        0.2003
GPMin:    5 17:53:14       -4.475448        0.1874
GPMin:    6 17:53:19       -4.483622        0.1654
GPMin:    7 17:53:24       -4.488111        0.1560
GPMin:    8 17:53:36       -4.525688        0.1348
GPMin:    9 17:53:42       -4.549678        0.0960
GPMin:   10 17:53:47       -4.564145        0.0944
GPMin:   11 17:53:53       -4.573337        0.0975
GPMin:   12 17:53:59       -4.606251        0.1073
GPMin:   13 17:54:05       -4.638093        0.1118
GPMin:   14 17:54:10       -4.652387        0.1157
GPMin:   15 17:54:14       -4.673299        0.0813
GPMin:   16 17:54:20       -4.692535        0.0622
GPMin:   17 17:54:25       -4.701332        0.0574
GPMin:   18 17:54:31       -4.711161        0.0658
GPMin:   19 17:54:35       -4.720347        0.0531
GPMin:   20 17:54:41       -4.729136        0.0411
GPMin:   21 17:54:46       -4.737027        0.0437
GPMin:   22 17:54:51       -4.743424        0.0441
GPMin:   23 17:54:56       -4.748965        0.0537
GPMin:   24 17:55:00       -4.754389        0.0514
GPMin:   25 17:55:05       -4.758635        0.0427
GPMin:   26 17:55:10       -4.764065        0.0449
GPMin:   27 17:55:15       -4.769076        0.0434
GPMin:   28 17:55:20       -4.772941        0.0331
GPMin:   29 17:55:24       -4.776191        0.0411
GPMin:   30 17:55:29       -4.781207        0.0430
GPMin:   31 17:55:34       -4.784353        0.0385
GPMin:   32 17:55:39       -4.789063        0.0407
GPMin:   33 17:55:44       -4.792471        0.0330
GPMin:   34 17:55:48       -4.795267        0.0325
GPMin:   35 17:55:53       -4.798365        0.0378
GPMin:   36 17:55:58       -4.802872        0.0277
GPMin:   37 17:56:03       -4.805256        0.0294
GPMin:   38 17:56:08       -4.809588        0.0377
GPMin:   39 17:56:13       -4.811754        0.0425
GPMin:   40 17:56:19       -4.815723        0.0546
GPMin:   41 17:56:24       -4.819169        0.0511
GPMin:   42 17:56:29       -4.825884        0.0420
GPMin:   43 17:56:34       -4.830884        0.0532
