       Step     Time          Energy         fmax
GPMin:    4 18:11:23       -6.694442        0.2692
GPMin:    5 18:11:30       -6.811467        0.2700
GPMin:    6 18:11:37       -6.915995        0.2517
GPMin:    7 18:11:44       -6.999545        0.1908
GPMin:    8 18:11:51       -7.053942        0.0774
GPMin:    9 18:11:57       -7.067874        0.0811
GPMin:   10 18:12:03       -7.077878        0.0746
GPMin:   11 18:12:09       -7.088878        0.0536
GPMin:   12 18:12:14       -7.098210        0.0540
GPMin:   13 18:12:20       -7.106565        0.0554
GPMin:   14 18:12:25       -7.113556        0.0602
GPMin:   15 18:12:31       -7.124788        0.0674
GPMin:   16 18:12:38       -7.140609        0.0686
GPMin:   17 18:12:44       -7.156124        0.0640
GPMin:   18 18:12:50       -7.169028        0.0536
GPMin:   19 18:12:56       -7.180705        0.0661
GPMin:   20 18:13:03       -7.194604        0.0834
GPMin:   21 18:13:08       -7.214589        0.0871
GPMin:   22 18:13:15       -7.238092        0.0909
GPMin:   23 18:13:21       -7.259536        0.0778
GPMin:   24 18:13:27       -7.273428        0.0454
GPMin:   25 18:13:33       -7.277893        0.0235
GPMin:   26 18:13:38       -7.278652        0.0185
       Step     Time          Energy         fmax
GPMin:    0 18:13:52       -5.916496        0.2543
GPMin:    1 18:14:01       -6.119853        0.2316
GPMin:    2 18:14:08       -6.264211        0.2316
GPMin:    3 18:14:15       -6.391919        0.2207
GPMin:    4 18:14:22       -6.500013        0.2029
GPMin:    5 18:14:29       -6.615051        0.1955
GPMin:    6 18:14:36       -6.684176        0.2055
GPMin:    7 18:14:43       -6.755059        0.1935
GPMin:    8 18:14:49       -6.826974        0.1739
GPMin:    9 18:14:55       -6.896036        0.1651
GPMin:   10 18:15:01       -6.964325        0.1635
GPMin:   11 18:15:08       -7.022348        0.1481
GPMin:   12 18:15:15       -7.066257        0.1195
GPMin:   13 18:15:21       -7.092245        0.0794
GPMin:   14 18:15:27       -7.106287        0.0659
GPMin:   15 18:15:32       -7.116198        0.0665
GPMin:   16 18:15:39       -7.125270        0.0653
GPMin:   17 18:15:45       -7.135500        0.0615
GPMin:   18 18:15:51       -7.147531        0.0584
GPMin:   19 18:15:57       -7.162185        0.0694
GPMin:   20 18:16:03       -7.180000        0.0829
GPMin:   21 18:16:10       -7.201238        0.0870
GPMin:   22 18:16:16       -7.223509        0.0852
GPMin:   23 18:16:22       -7.243551        0.0803
GPMin:   24 18:16:29       -7.260808        0.0645
GPMin:   25 18:16:35       -7.273028        0.0377
GPMin:   26 18:16:41       -7.277578        0.0273
GPMin:   27 18:16:46       -7.278920        0.0215
GPMin:   28 18:16:51       -7.279805        0.0170
       Step     Time          Energy         fmax
GPMin:    0 18:17:04       -6.506825        0.5847
GPMin:    1 18:17:13       -6.727887        0.2519
GPMin:    2 18:17:20       -6.822776        0.2192
GPMin:    3 18:17:27       -6.907490        0.2110
GPMin:    4 18:17:34       -6.993673        0.2065
GPMin:    5 18:17:41       -7.074414        0.1832
GPMin:    6 18:17:48       -7.140540        0.1386
GPMin:    7 18:17:55       -7.188764        0.0938
GPMin:    8 18:18:01       -7.215512        0.0674
GPMin:    9 18:18:07       -7.229756        0.0618
GPMin:   10 18:18:13       -7.236266        0.0424
GPMin:   11 18:18:18       -7.238728        0.0232
GPMin:   12 18:18:24       -7.239664        0.0146
       Step     Time          Energy         fmax
GPMin:    0 18:18:37       -6.605012        0.2728
GPMin:    1 18:18:45       -6.723846        0.2527
GPMin:    2 18:18:51       -6.828419        0.2595
GPMin:    3 18:18:58       -6.928762        0.2452
GPMin:    4 18:19:04       -7.015540        0.1864
GPMin:    5 18:19:10       -7.066969        0.0840
GPMin:    6 18:19:16       -7.088230        0.0595
GPMin:    7 18:19:21       -7.100833        0.0601
GPMin:    8 18:19:27       -7.110918        0.0691
GPMin:    9 18:19:33       -7.125746        0.0675
GPMin:   10 18:19:39       -7.142160        0.0549
GPMin:   11 18:19:46       -7.152384        0.0379
GPMin:   12 18:19:52       -7.156845        0.0347
GPMin:   13 18:19:57       -7.161387        0.0397
GPMin:   14 18:20:03       -7.173821        0.0543
GPMin:   15 18:20:10       -7.196543        0.0666
GPMin:   16 18:20:16       -7.224284        0.0705
GPMin:   17 18:20:22       -7.250901        0.0654
GPMin:   18 18:20:28       -7.268516        0.0489
GPMin:   19 18:20:34       -7.275125        0.0350
GPMin:   20 18:20:39       -7.276974        0.0256
GPMin:   21 18:20:44       -7.279184        0.0247
GPMin:   22 18:20:50       -7.280308        0.0186
       Step     Time          Energy         fmax
GPMin:    0 18:21:02       -6.834643        0.2544
GPMin:    1 18:21:09       -6.996264        0.1678
GPMin:    2 18:21:16       -7.072644        0.1177
GPMin:    3 18:21:22       -7.118448        0.0650
GPMin:    4 18:21:28       -7.133321        0.0466
GPMin:    5 18:21:34       -7.139081        0.0294
GPMin:    6 18:21:40       -7.141626        0.0207
GPMin:    7 18:21:45       -7.143498        0.0227
GPMin:    8 18:21:51       -7.146101        0.0237
GPMin:    9 18:21:57       -7.151951        0.0324
GPMin:   10 18:22:03       -7.161457        0.0343
GPMin:   11 18:22:10       -7.181166        0.0563
GPMin:   12 18:22:16       -7.210861        0.0787
GPMin:   13 18:22:22       -7.243325        0.0799
GPMin:   14 18:22:29       -7.266538        0.0463
GPMin:   15 18:22:34       -7.274055        0.0380
GPMin:   16 18:22:40       -7.276719        0.0261
